公司名,工作名,薪资,学历要求,工作经验,是否全职,公司类型,公司规模,任职要求
上海逸动医学科技有限公司,算法/数据分析工程师,10K-20K,硕士,1-3年,全职,民营,20-99人,岗位职责： 1、负责医学数据分析，包括时间序列，图像类型数据； 2、代码实现及可视化展示； 3、模块化封装，与软件工程师合作完成软件系统设计。任职要求： 1、电子，通信，自动化，计算机等专业硕士以上学历，熟练 应用C++/ matlab/ python；2、有信号处理，统计学，机器学习，深度学习方面经验 有医学信号处理经验优先；3、跨平台开发经验优先。
北京云族佳科技有限公司,数据开发ETL,10K-20K,大专,1-3年,全职,民营,100-499人,岗位职责：1.负责数据处理过程中的SQL脚本开发；2.针对业务需求，参与各种临时性数据需求的开发；3.数据处理、数据质量的验证和修复。?岗位要求：1.对数据敏感、有金融行业工作经验优先。2.熟练掌握SQL、HQL或阿里云MaxCompute技能，能对SQL编程进行优化。3.熟练掌握Linux shell、Python等脚本语言；4.具有良好的沟通能力、积极主动性和团队合作精神。
亚创(上海)工程技术有限公司,运维工程师,10K-18K,本科,3-5年,全职,外商独资,10000人以上,"ICT(Linux)We are now looking for an Information andCommunication Technology (ICT) Engineer. You will plan and operate the softwareand hardware solutions for the internal Ericsson users. As an ICT Engineer, youwill ensure a stable environment and optimize the solutions/services to theagreed service levels in a cost efficient and timely manner.Additional services required by the customer arehandled on a case by case basis.Responsibilities: You will create cost effective solutions through activities in     network design, planning and deployment You will configure and integrate nodes and solutions into networks     (new and existing) You will maintain the environment at an operative state You can contribute to continuous improvements in the organization You will also provide the technical support handling of internal     and external customersKey Qualifications: Education: Bachelor degree (Telecommunication, Computer Science,     Electronic Engineering) Minimum years of experience: 2+ years Domain experience: Linux/Unix, IP,?Script, Telecommunication     (Core Network) IT Processes, tools and infrastructure knowledge English skills Interpersonal and communication?skillsAdditional Requirements: Experience in Telecommunication Packet Core area is a plus Being able to handle Ericsson propriety equipment and equipment     from other vendors Good knowledge on Openstack/Docker and Kubernets. Good computer skill including the Administration of Unix or Linux,     Shell or Python programming is preferred. Good knowledge on TCP/IP networking, familiar with Cisco/Juniper     configuration is preferred  ? ICT(Linux) We are now looking for an Information and Communication Technology     (ICT) Engineer. You will plan and operate the software and hardware     solutions for the internal Ericsson users. As an ICT Engineer, you will     ensure a stable environment and optimize the solutions/services to the     agreed service levels in a cost efficient and timely manner. Additional services required by the customer are handled on a case     by case basis. Responsibilities: ? You will create cost     effective solutions through activities in network design, planning and     deployment ? You will configure and     integrate nodes and solutions into networks (new and existing) ? You will maintain the     environment at an operative state ? You can contribute to     continuous improvements in the organization ? You will also provide the     technical support handling of internal and external customers Key Qualifications: ? Education: Bachelor degree     (Telecommunication, Computer Science, Electronic Engineering) ? Minimum years of experience:     2+ years ? Domain experience:     Linux/Unix, IP, Script, Telecommunication (Core Network) ? IT Processes, tools and     infrastructure knowledge ? English skills ? Interpersonal and     communication skills Additional Requirements: ? Experience in     Telecommunication Packet Core area is a plus ? Being able to handle     Ericsson propriety equipment and equipment from other vendors ? Good knowledge on     Openstack/Docker and Kubernets. ? Good computer skill     including the Administration of Unix or Linux, Shell or Python programming     is preferred. ? Good knowledge on TCP/IP     networking, familiar with Cisco/Juniper configuration is preferred  ? Understanding of different     Software operating systems ? ICT(Linux) We are now looking for an Information and Communication Technology     (ICT) Engineer. You will plan and operate the software and hardware     solutions for the internal Ericsson users. As an ICT Engineer, you will     ensure a stable environment and optimize the solutions/services to the     agreed service levels in a cost efficient and timely manner. Additional services required by the customer are handled on a case     by case basis. Responsibilities: ? You will create cost     effective solutions through activities in network design, planning and     deployment ? You will configure and     integrate nodes and solutions into networks (new and existing) ? You will maintain the     environment at an operative state ? You can contribute to     continuous improvements in the organization ? You will also provide the     technical support handling of internal and external customers Key Qualifications: ? Education: Bachelor degree     (Telecommunication, Computer Science, Electronic Engineering) ? Minimum years of experience:     2+ years ? Domain experience:     Linux/Unix, IP, Script, Telecommunication (Core Network) ? IT Processes, tools and     infrastructure knowledge ? English skills ? Interpersonal and     communication skills Additional Requirements: ? Experience in     Telecommunication Packet Core area is a plus ? Being able to handle     Ericsson propriety equipment and equipment from other vendors ? Good knowledge on     Openstack/Docker and Kubernets. ? Good computer skill     including the Administration of Unix or Linux, Shell or Python programming     is preferred. ? Good knowledge on TCP/IP     networking, familiar with Cisco/Juniper configuration is preferred  ? Understanding of different     Software operating systems"
上海迈司默投资中心(有限合伙),数据库开发工程师,16K-32K,本科,3-5年,全职,民营,100-499人,岗位职责1.负责中台数据仓库设计、开发和维护2.运用ETL相关工具设计数据集成流程，收集分发生产环境业务数据3.日常数据监控以及数据预警，异常数据解读挖掘，并与业务同事沟通解决方案4.参与分析、规范各业务线数据构架，进行数据采集5.分析各数据消费方需求，为各业务线提供数据集成服务任职要求1.计算机、数学或信息等专业，本科以上学历2.精通SQL语言熟悉数据仓库设计、建模尤佳3.熟悉Python，能够编写脚本处理数据4.熟悉SQLServer、MySQL数据库，了解MongoDB等非关系型数据库5.熟悉至少一种常用ETL工具（如Kettle、SSIS等），了解常用报表工具（如ReportingServices以及各类开源报表）6.有较强逻辑思考能力强，问题分析能力，思维缜密7.勤奋好学，良好的表达沟通能力、团队合作及文档交付能力8.忠诚、勤奋，对工作有责任感和团队精神，能够在压力下工作
上海科之锐人才咨询有限公司北京分公司,Digital Data Engineer（电商部门数据分析）,8K-10K,本科,无经验,全职,合资,100-499人,"1. 组装大型、复杂的数据集，包括事务数据、客户档案数据、web行为数据和数字营销渠道数据。2. 与全球IT和数据科学团队合作，利用SQL等大数据技术，构建从各种数据源中优化提取、转换和加载数据所需的基础设施3.与利益相关者(包括数字营销、活动设计、客户体验团队)合作，协助处理与数据相关的技术问题，并支持他们的数据基础设施需求4. 为数据分析师和数据科学家团队成员创建数据工具，帮助他们构建和优化我们的本地数据库岗位要求:1. 计算机科学、统计学或数学学士学位2. 1年以上高级SQL工作经验，熟悉关系数据库，查询编写(SQL)，熟悉各种数据库。19届应届生可以考虑3.熟悉Python或R等编程和脚本语言者优先4. 有故障排除经验，对内部和外部数据进行根本原因分析数据处理，数据来源分为内部数据库和offline的报表,数据分析。"
上海连宜企业管理中心,Hadoop/大数据工程师,8K-16K,本科,3-5年,全职,民营,1000-9999人,1、计算机、数学或统计等相关专业本科及以上学历，有2年及以上工作经验2、熟练掌握Java熟悉Java多线程编程有高并发编程经验优先3、熟悉hadoop组件技术，了解Mapreduce编程有spark开发经验者优先4、熟练掌握MYSQL数据库及常用SQL5、熟悉Linux操作命令，能编写常用Shell或Python脚本6、了解机器学习算法，搜索引擎技术，或分布式计算技术，有相关经验者优先7、对大数据技术有钻研热情，具备高度的责任心及团结协作精神，善于沟通交流
上海具始办公用品中心,数据库开发工程师,16K-32K,本科,3-5年,全职,民营,100-499人,岗位职责1.负责中台数据仓库设计、开发和维护2.运用ETL相关工具设计数据集成流程，收集分发生产环境业务数据3.日常数据监控以及数据预警，异常数据解读挖掘，并与业务同事沟通解决方案4.参与分析、规范各业务线数据构架，进行数据采集5.分析各数据消费方需求，为各业务线提供数据集成服务任职要求1.计算机、数学或信息等专业，本科以上学历2.精通SQL语言熟悉数据仓库设计、建模尤佳3.熟悉Python，能够编写脚本处理数据4.熟悉SQLServer、MySQL数据库，了解MongoDB等非关系型数据库5.熟悉至少一种常用ETL工具（如Kettle、SSIS等），了解常用报表工具（如ReportingServices以及各类开源报表）6.有较强逻辑思考能力强，问题分析能力，思维缜密7.勤奋好学，良好的表达沟通能力、团队合作及文档交付能力8.忠诚、勤奋，对工作有责任感和团队精神，能够在压力下工作
北京神州新桥科技有限公司,Oracle 数据库工程师-上海,10K-15K,本科,不限,全职,民营,500-999人,"岗位职责：1、负责数据库系统部署方案的计划及设计工作；? 2、参与数据库设计，对数据库整体架构提出建议；? 3、进行数据库性能监控和调优并优化数据库大表，以及数据库日常维护，故障处理；? 4、制定数据备份/恢复计划并参照执行，保障系统数据安全和权限管理；? 5、对客户进行远程和现场的技术支持，解决客户遇到的各类技术问题。?任职要求：1、了解Oracle数据库体系结构，熟悉LINUX或UNIX环境下的数据库安装、维护、健康状态监控、性能优化及故障排除；? 2、精通/熟悉Data Guard/RAC等高可用技术，能顺利的配置和管理data Guard。? 3、精通/熟悉Oracle的备份与恢复技术? 4、熟悉ORACLE存储过程、触发器，具备SQL优化的相关技能 ；?5、熟悉MySQL主从复制、主主复制，熟悉MySQL Cluster及高可用解决方案； 6、熟悉Linux及Windows等常用操作系统及其Shell,Perl,Python等语言；? 7、具有团队合作精神，思维清晰，细致耐心，责任心强，能独立完成工作，承受较大工作压力。"
亚创(上海)工程技术有限公司,c++开发工程师,10K-18K,本科,3-5年,全职,外商独资,10000人以上,"Position QualificationsCore Competences:? Outstanding C++? programming skills? Deep understanding of design pattern and be familiar with frequent used Data structures.? Familiar with Linux OS including inter-process communication, multi-threading, semaphore, etc.? Rich experience over STL / boost library.? Familiar with at least one script languages: Shell, Python, Perl, TTCNMinimum Qualifications & Experience Requirements:? BSc level in a technical discipline or the equivalent level of knowledge? English SkillsPreferred Qualifications & Experience Requirements:? Knowledge on Packet Core network and PCRF, solid network protocol background in Telecom(3GPP, 3GPP2, DIAMETER, etc.)? Experience on LDAP, SQL, XML, Radius Diameter, SNMP, Webservices, SOAP? Knowledge on Lean & Agile principle and experience on Scrum software development process? Good coding style and be familiar with software developing procedures.? Knowledge on TCP/IP network? Knowledge on software testing, including test process and test methodologies? Familiar with test automation practices, tools and framework? Knowledge on TSP platform and TTCN script language? Experience on ECLIPSE development environment? Knowledge on Cloud, DockerAdditional Requirements, Physical Demands, Region/Local Specifications:? Knowledge Sharing & Collaboration Skills? Communication Skills? Ability to learn new technology quickly and apply to work tasks? Innovative and solution thinking? Open minded and easy going? Strong team work spirit and willing to take challenges"
百胜中国,电商AI系统数据分析师,20K-30K,本科,3-5年,全职,民营,1000-9999人,"背景：百胜中国是中国最大的餐饮集团，拥有肯德基、必胜客等著名品牌百胜中国的数字化建设业界领先，拥有庞大的会员基础，广泛的数字化生态系统，和海量的交易数据主要职责：参与负责多个百胜电商AI系统，如电商智能推荐系统，该智能系统覆盖6000多家门店，对上亿用户进行线上精准推荐，是百胜中国拥抱AI，提升业务增长的强大引擎之一深入了解业务场景，探索AI在业务场景落地的机会点，并通过数据分析、AI模型的尝试，验证可行性参与算法的开发和持续优化协调业务资源，与业务伙伴沟通，并制订推进AI项目，确保项目进度，对所负责的AI项产品的商业或业务效果负责任职要求：本科或以上学历，计算机软件、应用数学、统计等相关专业对业务逻辑和数据变化敏感，具备优秀逻辑分析能力和系统性问题思考能力，可以应对复杂业务场景的业务梳理，并依据数据主动发现AI机会点快速业务学习和理解能力，有强大的自驱力，良好的沟通与协调能力2年以上互联网、电商工作经验，有大数据、人工智能行业背景相关经验优先熟悉Python, Java等开发语言，熟悉常用数据统计和分析方法，有良好的数据分析能力，善于用数据进行分析、归纳、发现、解决问题精通SQL，有Hive，spark经验优先了解经典机器学习、深度学习算法的原理和应用，如XGBoost/LR/CNN/RNN等了解统计学基础知识和常用方法，了解假设检验，AB测??，各种常用统计分布了解hadoop,hive,hbase,storm,kafka或相关一种或多种大数据处理平台"
北京神州新桥科技有限公司,数据库工程师 ,15K-25K,本科,3-5年,全职,民营,500-999人,"工作职责和内容：1. 负责数据项目整体管理和开发；2. 负责部署大数据存储的架构；3. 对整合的数据进行挖掘分析，寻求数据价值；4. 负责项目需求沟通分析。经验技能要求：?1.  计算机或相关专业本科以上学历；四年以上数据项目工作经验；2.  熟悉主流的云计算、大数据开发技术（Hadoop、Spark、Spark Steaming、Storm等）并具有相关项目经验；3.  精通数据结构、数据分析算法及设计；4.  精通 Python、Perl、Ruby、Bash 脚本语言中的一种优先；5.  有很强的逻辑思维能力,积极主动,学习能力强, 做事严谨、认真、负责；6.  基金行业相关业务系统开发经验或数据仓库建设经验。"
上海仲望企业管理咨询有限公司,Research Engineer  研发工程师-上海,30K-45K,硕士,1-3年,全职,民营,100-499人,"Position Summary·????????Participate inestablishing research methodology, project objectives and milestones for majortechnical initiatives.·????????Report interim milestonesand final results to team lead and related Business Unit (BU). Achieve thetasks/milestones allocated on schedule with a high level of quality.?Key Responsibilities·????????A Master or PhD(preferred) with 0 ~ 3 years’experience in engineering,e.g. automation, electrical, electronic, computer science, applied mathematicsor a related discipline.·????????Experience in industrialfunctional safety and/or cyber-security or related areas is required.·????????Good computational,statistical and analytical skills, and programming skills (e.g. C/C ++, Java,Python).·????????Experience in modellingsoftware (e.g. Matlab/Simulink) and analysis techniques (e.g. FMEDA, HAZOP,FTA) is beneficial.·????????General knowledge ofcommunications, industrial automation, state-of-art embedded hardware, embeddedsoftware, system software and application software is an advantage.·????????Knowledge of probabilitytheory, coding theory, cryptography and optimization theory is an advantage.·????????Oral, reading and writingEnglish skills for daily work."
迪卡侬体育用品公司,数据分析师,10K-15K,本科,1-3年,全职,外商独资,10000人以上,"工作职责:1根据公司内各业务部门工作需要，对销售趋势、推广效果、产品结构、营销方案、竞店竞品等相关数据进行清洗、分析、监控和评估，产出分析报告或监控仪表盘，对业务活动提出有效建议2针对顾客属性和行为进行分析、归纳，挖掘用户行为特征，搭建会员数据监控体系，对会员营销方案提供建议，提高会员活跃度及复购率3对业务及数据高度敏感，通过对各类内外部数据的分析和挖掘，帮助业务部门捕捉商业机会4独立与各部门数据用户梳理及沟通需求，产出满足需求的数据产品并持续优化5参与各部门主要项目，从数据角度提供建议和效果监测6根据分析需求，梳理新数据需求，协助丰富数据库，提高数据质量完善数据管理体系任职资格:1大学本科及以上;22年以上数据分析相关工作经验，有项目管理经验优先；3较强的分析能力、逻辑思维能力;4学习能力强，能根据工作需要，解决分析过程中遇到的问题，快速学习相应的分析方法，数据应用和简单的开发工具；5熟练的EXCEL，Tableau，sql应用，熟悉R，python及数据库应用者优先;6熟悉天猫平台及数据工具者优先;7具备良好的沟通协调能力，英语日常听说读写熟练，执行力强，善于团队合作；8热爱运动，有事业心，恪守职业道德，爱岗敬业，保密意识强Responsibility:1According to the data needs of business partners, clean, process, analysis and monitor all kinds of data including sales, marketing, product, promotion, competition, etc. Produce analysis reports and dashboard, provide useful suggestion to business partners2Analysis and dig customer profile and behavior, set up membership data monitor system, provide suggestion to membership management, help improve active and repurchase rate of members3Sensitive to data and business, help partners capture business opportunities through analysis and mining various internal and external data4Communicate data request with business partners independently, provide related data product and continuously improve them5Participate in main project of business partners, provide result monitor and suggestion from data aspect6According to analysis needs, build new data request, assist IT team improve database establishment, data quality and data management systemQualification:1Bachelor’s degree and above,2At least 2 year data analysis experience, project management experience preferred,3Strong analysis skill and logical thinking,4Quick learner, able to solve various difficulties in analysis process, able to master new related analysis method, application and basic development tools,5Solid Excel, Tableau, sql skill; familiar with R, python and database application preferred,6Familiar with Tmall Platform and related data application preferred,7Good Communication skill, good oral and written English, practical, strong execution, team player,8Sports lover, entrepreneur sprite, observe professional ethics, high data secrecy consciousness--------【我们提供】-年轻化的团队，轻松快乐的办公环境和简单的人际关系-扁平化+自组织式管理，相信每位员工，赋能于每位员工-完善的职业和工作技能培训体系，让你发现和提升更好的自己-4000㎡健身中心和10000㎡运动场，让你一周五天运动不重样-每月团建活动， 12天带薪年假，让你充分劳逸结合-指定的职业成长教练（经理），时刻关注和跟进你的成长-每年度的薪资调整机会，让你的价值得到充分认可…...如果你热爱运动热爱生活，如果你想体验逾40年法企的工作氛围，如果你想以主人翁的角色工作，如果你对电子商务很感兴趣，如果你富有责任心，是个实干家，同时你也充满活力，是个梦想者，如果你希望认识一群有趣并热爱运动的年轻人，请到这里来！"
上海迈司默投资中心(有限合伙),大数据开发工程师,8K-16K,本科,3-5年,全职,民营,100-499人,任职要求1.至少精通CC++pythonjava语言中的一种，熟悉数据结构与算法、数据挖掘、人工智能算法和设计2.熟悉计算机体系结构，具备较强的Unix、Linux平台CC++，python，java语言开发能力加分项3.熟悉电力系统高性能计算、网格计算、图计算、并行计算、内存计算、流计算、虚拟化等技术4.对Spark生态圈有较全面了解，熟悉Spark、HDFS、HBase、Hive、YARN、TensorFlow等相关技术5.有pyhton机器学习基础，精通Numpy、scipy、pandas、scikit-learn、matplotlib等科学计算库6.具有电力行业大数据应用工作经验，或相关论文发表者优先7.有一定写作和研发能力，能结合实际工作和理论研究发表文章者优先岗位职责1.全日制本科以上学历，硕士研究生优先应用数学、统计分析或电力系统相关专业2.受过培训机构培训优先考虑面试
上海合胜计算机科技股份有限公司,运维工程师-上海中山公园,15K-30K,本科,1-3年,全职,民营,500-999人,  工作职责：   1.负责智能运维产品在客户现场或远程的部署和交付，撰写相关文档  2.负责客户运维数据的清洗和接入、运维数据应用场景的设计、效果测试  3.负责客户现场或远程在产品售前、售中、售后的技术支持  4.负责客户现场产品的技术培训  5.负责客户部署环境、数据情况的调研   职位要求：   1.计算机相关专业，本科及以上学历  2.熟悉数据中心运维管理体系，运维监控、流程、配置管理等，数据常见的监控管理软件，如tivoli、bmc等厂商产品  3.深入理解 Linux 操作系统，精通 Shell、Python、Ruby 中至少一种脚本编程  4.具备无网络、不同系统及权限等复杂环境下产品 POC 实施和部署交付经验者优先  5.具备不同数据源、数据格式等复杂情况下，大量数据的清洗和接入经验者优先  6.了解 Spark、Kafka、Logstash 等数据处理技术者，熟悉 Hadoop 生态者优先  7.具备一年及以上运维经验者优先，具有人工智能的实际工作经验者优先  8.性格乐观、开朗，善于与人沟通，有团队精神，并能承受一定的工作压力  9.极强的敬业精神和开拓进取能力，动手能力强，有进取心
游族网络,SLG游戏测试主管,20K-30K,本科,3-5年,全职,上市公司,1000-9999人,游戏测试主管/经理工作职责1、 快速上手业务，并组织团队完成产品的质量体系构建和管理工作；2、 招聘并构建测试团队，完成团队的建设和发展，实现良好的跨团队合作；3、 优化、提高团队的测试效率和输出质量，主动发现问题并优化改善，做好过程和结果的积极反馈和团队的反思提升工作；4、 承担团队的游戏运营品质和责任，关注并提升团队业绩；5、 承担外网游戏品质责任，关注项目业绩；任职资格1、 本科以上学历，有3年以上软件测试经验，有游戏测试经验者优先，具有快速熟悉业务流程和优化，并建立完善质量体系的能力；2、 有过带领团队独立完成项目测试工作，做好工作中的问题挖掘和改善，带领团队提升业务熟悉度和技术能力的提升的经验；3、 具备团队组建、团队人才培养、团队梯队建设和团队发展的经验，能够很好的进行团队内外的沟通和团队绩效提升；4、 优秀的执行力和抗压能力，热爱游戏测试，乐于主动反馈和积极思考；5、 熟悉至少一门开发或者脚本语言，C++、C、C#、php、python优先；6、 熟悉主流操作系统原理（windows、linux、android）、网络协议等，有过前后端性能、安全、兼容等测试经验者优先；
高知特信息技术上海有限公司,Application Delivery and Maintenance Solution Architect,50K-70K,本科,10年以上,全职,外商独资,10000人以上,"Educational Qualifications： ·         Bachelor’s Degree in Computer Science/Information Technology or equivalent. Certifications or trainings ·           DevOps, ITIL V3 knowledge, Agile Way of Software Development Certification or ACP preferred  Relevant Work Experience ·           Total experience of 15+ years in IT industry with past 5-7 years’ experience as a solution architect or technical leader role for Application Development and Maintenance related services ·           Solid experience in IT Service Management in bringing Application Development and Maintenance Best practices, SLA management, proactive monitoring, predictive maintenance. ·           Demonstrated experience in providing technical solutions for large complex application development projects delivery with good customer feedback. ·           Experienced in preparing and reviewing software estimations - both component based and function points based. ·           Experienced in preparing Application Development and Maintenance related proposals, RFP responses, working with various cross functional teams and partners and proven ability to present proposals to internal and external audiences confidently. ·           Must be able to understand the IT need of businesses and design proposals to cater for such needs.  ·           Proven ability to prepare solution architecture (software and programs) that is in sync with business needs. ·           Able to render consulting and technical support services on project implementation to the project team ·           Proven ability to work with vendors and suppliers  ·           The position involves collaboration with clients, and working with cross functional teams. So, excellent communication skills and presentation skills in English and Chinese is paramount for this role. ·           Experience in IT services management, process and service improvement. ·           Strong Analytical skills ·           Self-driven and take new initiatives that will bring in value to customer.  ·           Able to communicate with CxO and senior customer leaders in English and Mandarin fluently. ·           A team player, self-driven, good in managing priority and able to work independently under minimum supervision in a fast paced development environment. ·           Flexible to travel domestically and internationally as per job requirements. Technical Skills ·           Solid experience on a broad range of application development and maintenance tools and programming languages e.g. Java, J2EE, Microsoft Suite (VB, .NET, ASP), Linux, Jenkins, Python, JIRA, DevOps, Remedy, ServiceNow etc. ·           Basic understanding of various digital technologies / principles such as cloud computing, CICD, WeChat Integration, iOS / Android App Dev  "
任仕达企业管理(上海)有限公司深圳分公司,IC验证工程师,20K-30K,硕士,不限,全职,外商独资,100-499人,"职责描述：1. 负责 DSP芯片 SoC 模块级和系统级验证2. 独立完成复杂项目的验证：制定项目计划，掌握验证进度，控制验证质量；3. 协同其他部门工作。岗位要求：1. ASIC/SOC 验证经验；2. 熟练掌握 Verilog, SystemVerilog, C/C++等语言以及 Python/Perl/Tcl Shell, Makefile 等脚本， UVM 验证方法学；3. 熟练掌握多种外设接口协议(Ethernet/UART/SPI/I2C等)，了解 AMBA 总线协议；4. 对验证流程、testbench 架构、验证策略有清晰的理解和认识，对验证质量能够充分的把握；5. 有DSP验证经验优先；6. 有 DFT(SCAN, BIST)验证经验的优先；7. 具备良好的团队工作习惯，英文水平良好。"
中科创达软件股份有限公司,power 测试工程师（外派形式）,12K-16K,本科,不限,全职,合资,500-999人,"中科创达简介：全球的领先的智能移动终端操作系统及平台技术提供商。主营业务涉及：智能手机，平板电脑，camera,车载，无人机等。合同签订方：中科创达上海分公司面试/工作地点：上海浦东新区亮秀路72号工作内容：负责设备的热启动，热箱验证和热配置调整，并捕获设置的热目标。分析热温度测量值和其他日志数据，以识别发生热风险的区域。保持电源结构的基本知识，平台驱动程序的基本技能，并将其应用于快速查找热问题。方法包括检测，SW日志调试。与硬件和软件开发，测试和客户工程团队合作，解决散热问题。岗位要求：1.在无线，电信或半导体行业具有2年以上的软件经验2.基本的C技能和嵌入式系统编程技能。3.基本的BSP和平台驱动程序背景。4.具备电源调试知识的经验。5.了解基本的硬件信息，包括阅读原理图的能力。6.有python / shell经验者优先。7.熟悉实时操作系统（Linux或L4）。8.最好有电源/散热/性能测试的经验。9.本科专业1~5年工作经验福利待遇：基本薪资+年终奖+餐补交通补助+五险一金+周末双休 （1. 主要负责power设备的热启动，配置相关的。熟悉电源的性能测试、平台测试、功耗测试、温度测试调试。2.属于开发组的测试调试。manger觉得做过power测试，看得懂C语言的就可以；最好熟悉Android平台。C语言能看懂不要求会写，平时工作中看的多。shell/python脚本会的话是加分项。C语言和脚本必须会一个。看得懂并且会画电路图，懂一些硬件的框架，比如power充电模块、发热模块、CPU）"
奇瑞汽车股份有限公司,高级云端测试工程师,15K-20K,本科,5-10年,全职,股份制企业,10000人以上,任职要求：1.计算机相关专业，全日制本科及以上学历，有5年以上服务端测试经验，对微服务、契约测试有一定实践更佳；2.对车联网有较深入的理解，特别是有实际的后台项目测试经验，负责过整车FOTA升级测试（或类似终端OTA测试经验），有TSP云端测试经验者优先，有带团队经验者优先。3.对性能测试有较深入的实践经验，能快速设计测试场景，分析被测系统薄弱环节，能通过工具和日志给出系统性能指标报告；4.熟悉（TCP/HTTP/Restful等）接口测试和JMeter、Postman以及等常用性能测试工具；5.熟练掌握至少一种编程语言，Java/Python/JS等，以及相应的单元测试框架如：JUnit/TestNG/PyUnit；6.熟悉Linux操作系统，TCP/IP和HTTP等常用网络协议，具有shell脚本编写能力；7.熟悉Tomcat、jenkins等部署方案，有二次开发能力，了解MySQL/MongoDB/Redis等数据库的常用配置和操作；熟悉分布式计算框架，如MapReduce/Hive/HBase。岗位职责：1.负责车联网相关业务流程的后台测试，包括但不限于整车OTA、Android iOS APP/H5、导航、远程车控、云端后台接口、第三方接入等业务；2.参与测试工具和测试架构的搭建，包括云端测试平台、性能测试工具、评测统计系统等；参与云端系统框架讨论，基于业务逻辑和服务框架，设计测试平台，开发测试框架和工具；3.根据产品和测试需求制定测试计划，设计测试策略，编写功能测试用例／接口测试代码／自动化测试用例；4.管理测试小组，分解和执行测试工作，包括执行测试用例，提交BUG，跟踪回归BUG，发布测试报告，分析质量趋势等；5.学习引进新技术，研究测试思想和方法，以测试思维最大化地更早更多地暴露质量问题，确保系统高质量发布。
百胜中国,IT高级网络工程师,15K-20K,本科,5-10年,全职,民营,1000-9999人,PURPOSE OF THE JOB:对公司的网络系统（混合云、数据中心、市场办公室网络等）提供架构设计、项目管理、实施、运维管理、确保网络稳定运行。管理供应商进行网络设计、建设、调试、测试、优化。发现机会点，提供先进的网络配置和监控告警工具，脚本，方法，理念，新技术。JOB SIZE:负责设计和维护2个混合云网络，1个数据中心网络以及约100个市场办公室网络。JOB FUNCTIONS:1. 混合云和IDC网络管理（60%2525）1） 网络设计和建设，对网络方案进行讨论、定型和实施。2） 日常管理和维护，包括监控、故障响应处理、配置管理、变更管理、事件管理等。3） 日常变更、项目实施、以及持续优化。4） 容器网络平台和安全策略运维管理2. 市场办公室网络管理（20%2525）1） 管理供应商进行网络设计、建设、调试、测试、优化。落实网络项目对接方案，并实施交付。2） 与公司其他相关部门对接网络需求并按时交付项目。3） 日常管理和维护，包括监控、故障响应处理、配置管理、变更管理、事件管理等。3. 保障混合云网络、办公室网络的SLA，为业务提供高可靠的网络基础设施。（20%2525）1） 使用自动化运维工具、脚本和开源监控告警软件对网络进行监控运维。及时发现并处理故障。EDUCATION:计算机或相关专业本科以上学历EXPERIENCE (and other qualifications):1. 五年以上网络工作经验，2年以上甲方工作经验，计算机相关专业，大学本科以上学历；2. 精通TCP/IP协议，精通EIGRP、OSPF、BGP等常用路由协议，精通VPN、QOS、VRRP、VLAN、VPC、ACL、STP、CDN、DNS、DHCP、VXLAN、LVS、calico等网络技术。熟悉wireshark、zabbix、grafana、solarwind、snmp、MTR、wget、curl、ansible等工具使用。3. 精通主流交换机、路由器、防火墙等网络硬件设备。精通华为、思科等主流网络产品和技术，有CCIE及同等证书优先。4. 熟悉防火墙工作原理；熟悉应用负载均衡产品的工作原理。5. 有丰富的大中型网络设计、安装、配置、排错和优化经验，对于如何设计一个高可用、高可靠、易于管理、安全的网络架构有深入的理解。6. 精通网络安全、网络管理协议，对于网络安全有丰富的经验。7. 具有网络架构规划和设计能力，能在日常工作中发现机会点，发现问题并主动解决、主动改进。8. 对IT技术有强烈的热情和好奇心，主动学习，持续对新技术，新知识保持关注。9. 具有PMP认证者优先，具有良好的项目管理能力，对项目进度和最终结果负责。10. 具有良好的资源协调和统筹能力。有良好的团队合作精神，沟通能力和服务意识，高度的责任心和敬业精神。11. 具有一定的PPT编写和展示能力，技术标准化文档撰写能力。12. 具有丰富的混合云网络架构设计和运维经验，拥有阿里云、腾讯云等公有云网络部署经验。13. 具有Netdevops、网络自动化运维经验 。有脚本编写能力和开源监控工具、配置工具、管理工具使用经验。会使用编程工具来进行网络运维，如Python。熟悉思科无线、视频和语音产品。
中科创达软件股份有限公司,wifi测试工程师（外派形式）,12K-16K,本科,不限,全职,合资,500-999人,"职位名称：wifi bt 软件测试中科创达简介：全球的领先的智能移动终端操作系统及平台技术提供商。主营业务涉及：智能手机，平板电脑，camera,车载，无人机等。合同签订方：中科创达上海分公司面试/工作地点：上海市浦东新区亮秀路72号 开发产品：智能家居、平板、手机等产品工作内容：负责Wifi、BT协议测试，手动、自动化测试都有；岗位要求：1.有Wifi、BT协议测试的相关经验，对协议有一定了解，产品不限； 2.有一定的自动化测试经验，能使用Python/c#/Perl语言进行脚本开发；3.期望3年左右工作经验，英语读写OK； 福利待遇：基本薪资+年终奖+餐补交通补助+五险一金+周末双休"
